previewURL,pageURL,tags,imageWidth,imageHeight,imageSize,views,downloads,collections,likes,comments,user,download_view_proportion,popularity,is_onkelglocke
https://cdn.pixabay.com/photo/2022/03/11/09/53/fighter-jet-7061734_150.jpg,https://pixabay.com/photos/fighter-jet-wing-pilot-g-suit-7061734/,"fighter jet, wing, pilot",3888,2592,2082937,1015,857,2,15,18,Bluesnap,0.8443349753694581,Average,FALSE
https://cdn.pixabay.com/photo/2017/07/18/07/44/jet-2515039_150.jpg,https://pixabay.com/photos/jet-engine-fighter-war-fire-2515039/,"jet, engine, fighter",4272,2848,2855127,1697,771,21,7,0,Ahmet_Salih,0.4543311726576311,Average,FALSE
https://cdn.pixabay.com/photo/2018/04/18/00/37/aircraft-3329229_150.jpg,https://pixabay.com/photos/plane-jet-military-flew-3329229/,"plane, jet, military",4288,2848,1001261,2194,1033,27,9,1,Netloop,0.47082953509571557,Average,FALSE
https://cdn.pixabay.com/photo/2018/08/26/22/22/meeting-3633535_150.jpg,https://pixabay.com/photos/meeting-airshow-plane-military-3633535/,"meeting, airshow, plane",4479,2986,2732271,2031,1023,4,9,0,PokeyArt,0.5036927621861153,Average,FALSE
https://cdn.pixabay.com/photo/2020/05/24/16/20/starfighter-5214941_150.jpg,https://pixabay.com/photos/starfighter-jet-jet-fighter-plane-5214941/,"starfighter, jet, jet fighter",4928,3264,1830365,631,354,0,10,12,emkanicepic,0.561014263074485,Unpopular,FALSE
https://cdn.pixabay.com/photo/2020/04/08/07/55/eurofighter-5016209_150.jpg,https://pixabay.com/photos/eurofighter-super-moon-5016209/,"eurofighter, super moon, photo manipulation",6000,3368,1780242,2004,1236,5,8,2,SimoneVomFeld,0.6167664670658682,Average,FALSE
https://cdn.pixabay.com/photo/2022/09/11/21/17/patrol-suisse-7448051_150.jpg,https://pixabay.com/photos/patrol-suisse-f-5-e-tiger-7448051/,"patrol suisse, f-5 e tiger, swiss air force",4860,3386,1317208,340,256,1,5,0,onkelglocke,0.7529411764705882,Unpopular,TRUE
https://cdn.pixabay.com/photo/2021/09/07/17/50/f-18-6604524_150.jpg,https://pixabay.com/photos/f-18-aircraft-flight-6604524/,"f-18, aircraft, flight",3925,2299,1110987,1221,909,3,8,1,hn2017,0.7444717444717445,Average,FALSE
https://cdn.pixabay.com/photo/2020/06/17/20/35/jet-5311077_150.jpg,https://pixabay.com/photos/jet-jet-fighter-plane-fighter-jet-5311077/,"jet, jet fighter, plane",5184,3456,1047979,688,440,2,6,2,fietzfotos,0.6395348837209303,Unpopular,FALSE
https://cdn.pixabay.com/photo/2020/01/02/12/50/aircraft-4735748_150.jpg,https://pixabay.com/photos/plane-fighter-jet-jet-flying-4735748/,"plane, fighter jet, jet",4753,3170,2058018,741,334,2,9,7,WorldInMyEyes,0.4507422402159244,Unpopular,FALSE
https://cdn.pixabay.com/photo/2014/02/15/16/41/propellers-266704_150.jpg,https://pixabay.com/photos/propellers-airplane-vertical-starter-266704/,"propellers, airplane, vertical starter",4000,3000,1290434,11103,4487,20,24,16,cegoh,0.4041250112582185,Popular,FALSE
https://cdn.pixabay.com/photo/2022/02/27/23/40/stealth-7038292_150.jpg,https://pixabay.com/photos/stealth-bombers-aircraft-7038292/,"stealth, beautiful nature, desktop backgrounds",5464,3240,1626071,2916,2217,6,35,50,flutie8211,0.7602880658436214,Average,FALSE
https://cdn.pixabay.com/photo/2012/10/25/23/44/formation-flight-62887_150.jpg,https://pixabay.com/photos/formation-flight-fujiyama-mount-fuji-62887/,"formation flight, fujiyama, mount fuji",4288,2848,1595877,10441,3493,76,21,5,WikiImages,0.3345464993774543,Popular,FALSE
https://cdn.pixabay.com/photo/2019/06/24/11/15/bundeswehr-4295762_150.jpg,https://pixabay.com/photos/armed-forces-fighter-jet-panavia-4295762/,"armed forces, fighter jet, panavia",4896,2752,3274650,2470,1870,4,15,2,SimoneVomFeld,0.757085020242915,Average,FALSE
